ZIP_CODE,Positive,CasesP100000,ActiveCases,Deaths,ActiveCaseRate,DeathRate,CaseChange,CaseChangeRate,TotPop2020,Equity_Score,OverallCoVIDScore,SHAPE_Length,SHAPE_Area,active cases per 1k
78002,1572,17474.4330813695,57,17,633.614939973321,188.972876834149,-26,-27.6595744680851,8996,7,15,144985.64623752,-1106428160.37503,6.336149399733214
78015,1416,11019.4552529183,32,5,249.027237354086,38.9105058365759,-121,-67.9775280898876,12850,2,5,95581.9499753016,-266837400.084911,2.490272373540856
78023,3153,10668.9676175008,86,33,291.002605488444,111.663790478124,-150,-57.0342205323194,29553,3,7,303706.326602784,-2070591185.08041,2.910026054884445
78069,360,15557.4762316335,9,7,388.936905790838,302.506482281763,-19,-63.3333333333333,2314,8,15,84077.4781265577,-236696668.513671,3.8893690579083837
78073,1505,20077.3745997866,55,14,733.724653148346,186.766275346852,-53,-39.8496240601504,7496,8,15,198568.620764441,-1354584833.00982,7.337246531483458
78101,548,12334.0085527797,17,11,382.624352914697,247.580463650686,-29,-51.7857142857143,4443,3,9,186086.800377269,-752953999.927122,3.8262435291469727
78109,7288,14187.545017423,216,64,420.487064182678,124.588759757831,-604,-66.4466446644664,51369,5,10,247752.176927694,-888712802.231375,4.204870641826783
78112,1538,17441.5967339533,47,14,533.000680426401,158.766160127013,-96,-62.7450980392157,8818,6,12,187053.509381857,-1323039854.61528,5.330006804264006
78148,2413,11801.8194267827,74,30,361.928983664286,146.727966350386,-199,-66.5551839464883,20446,5,9,104883.183145152,-169693516.906175,3.619289836642864
78152,479,19206.0946271051,19,6,761.828388131516,240.577385725742,-22,-44.8979591836735,2494,3,12,167422.385616085,-907912353.289303,7.618283881315156
78154,999,7960.1593625498,23,13,183.266932270916,103.585657370518,-44,-53.0120481927711,12550,3,6,248551.236311012,-498401788.003654,1.8326693227091633
78201,7485,16585.0524030046,124,157,274.75571115198,347.876182668233,-377,-67.4418604651163,45131,10,19,84360.8771911793,-199054797.001349,2.747557111519798
78202,2105,16363.4950248756,70,38,544.154228855721,295.398009950249,-159,-62.5984251968504,12864,10,18,41467.4134751966,-68967937.0406315,5.441542288557215
78203,1129,19665.5634906811,23,22,400.627068454973,383.208500261279,-50,-63.2911392405063,5741,10,21,32312.4238448288,-36771190.399952,4.0062706845497305
78204,2086,14619.1043520919,39,53,273.319784147452,371.434578456794,-109,-66.4634146341463,14269,10,20,53668.2583224675,-77512818.1008683,2.7331978414745253
78205,252,15199.0349819059,3,12,180.940892641737,723.763570566948,-16,-76.1904761904762,1658,8,21,40968.6403107478,-27705139.5995393,1.8094089264173703
78207,10819,18687.9242740919,263,244,454.286355863403,421.46718947023,-617,-63.9378238341969,57893,10,21,67936.5591370747,-210442585.016649,4.542863558634032
78208,793,14405.0862851953,26,15,472.297910990009,272.479564032698,-51,-63.75,5505,10,17,33893.5007921175,-28079160.7843566,4.722979109900091
78209,4273,10272.6223675353,100,66,240.407731512645,158.669102798346,-30,-10.2389078498294,41596,3,7,85882.5263200424,-279501262.187218,2.4040773151264547
78210,6278,16487.2104627344,188,112,493.723409842954,294.13309522559,-357,-60.2023608768971,38078,10,18,87292.2043482189,-212006337.380366,4.937234098429539
78211,6793,21351.5637278014,141,125,443.187175860443,392.896432500393,-399,-67.2849915682968,31815,10,21,107555.800171312,-279462814.113241,4.431871758604433
78212,3590,12288.6287396454,80,103,273.841308961457,352.570685287876,-126,-55.5066079295154,29214,7,13,70515.1318217535,-196572389.143389,2.738413089614568
78213,6402,15545.6267301248,134,93,325.384876887961,225.826817541644,-287,-61.3247863247863,41182,7,13,82144.7150884889,-217509118.959062,3.2538487688796076
78214,4809,20230.5330023979,124,110,521.644020024399,462.748727441,-228,-60.1583113456464,23771,10,21,134960.667395713,-364048303.674589,5.216440200243995
78216,5113,13846.9871360867,106,63,287.068381855112,170.616113744076,-230,-62.1621621621622,36925,6,12,100365.803879318,-392273655.206085,2.870683818551117
78217,4080,12814.8753062378,82,64,257.553866448898,201.017651862554,-255,-70.2479338842975,31838,5,10,99699.0138619594,-276877440.530854,2.5755386644889757
78218,5288,14396.9507214811,143,100,389.327525183773,272.257010618023,-325,-62.984496124031,36730,7,13,94581.569196775,-304526061.885835,3.893275251837735
78219,2830,17676.4522173641,85,32,530.918176139913,199.875078076202,-206,-66.6666666666667,16010,9,15,139113.748359195,-399933546.754301,5.309181761399126
78220,3531,20482.6266024711,120,50,696.096061256453,290.040025523522,-249,-61.6336633663366,17239,10,18,109043.81513509,-303346599.642501,6.960960612564534
78221,7929,19756.8086113672,164,112,408.641267784616,279.072085316323,-463,-68.6943620178042,40133,9,18,212047.721424805,-926144550.556779,4.086412677846162
78222,4455,19665.4012536417,129,72,569.435861216562,317.824666725523,-244,-57.1428571428571,22654,7,14,137303.568984621,-459549055.153525,5.6943586121656224
78223,10354,18903.8194698021,283,163,516.687358504345,297.597312495436,-534,-58.4245076586433,54772,8,17,325107.074120213,-1152371397.83365,5.166873585043453
78224,5123,25245.1584290149,94,115,463.213916128714,566.697876114916,-331,-74.3820224719101,20293,9,21,148207.779456361,-426009424.281779,4.632139161287144
78225,2668,20855.1551629798,62,62,484.640037520519,484.640037520519,-132,-65.3465346534654,12793,10,23,32998.7202494747,-53226890.8848059,4.8464003752051905
78226,1541,25295.469468155,24,33,393.959290873276,541.694024950755,-55,-60.4395604395604,6092,10,24,74706.1800073043,-107251682.932589,3.939592908732764
78227,8706,18432.8089602168,199,149,421.33344625352,315.47077131545,-442,-65.0957290132548,47231,8,17,136647.612227409,-389504316.187881,4.213334462535199
78228,11015,17861.7759616008,261,193,423.234092235844,312.966206136084,-532,-61.7886178861789,61668,9,18,83222.8420957643,-314640163.495546,4.232340922358436
78229,4349,13667.9342531192,86,62,270.278764260348,194.852132373739,-269,-71.7333333333333,31819,7,13,61953.2341769625,-158332231.375728,2.702787642603476
78230,4955,11749.7806549525,130,75,308.268715467976,177.847335846909,-178,-48.5013623978202,42171,5,10,85259.0330018517,-289451649.16534,3.082687154679756
78231,958,8944.91129785247,28,13,261.437908496732,121.381886087768,-57,-59.375,10710,3,6,76752.3315858874,-126511832.446174,2.6143790849673203
78232,3714,9985.48152927892,81,45,217.777060816261,120.987256009034,-223,-67.1686746987952,37194,3,7,80397.3503055951,-332280595.642338,2.177770608162607
