Date,Cumulative Deaths
2020-03-22,1
2020-03-23,1
2020-03-24,2
2020-03-25,2
2020-03-26,2
2020-03-27,2
2020-03-28,5
2020-03-29,5
2020-03-30,6
2020-03-31,6
2020-04-01,9
2020-04-02,9
2020-04-03,9
2020-04-04,11
2020-04-05,12
2020-04-06,13
2020-04-07,13
2020-04-08,20
2020-04-09,22
2020-04-10,24
2020-04-11,27
2020-04-12,27
2020-04-13,33
2020-04-14,33
2020-04-15,37
2020-04-16,37
2020-04-17,37
2020-04-18,38
2020-04-19,39
2020-04-20,39
2020-04-21,39
2020-04-22,39
2020-04-23,43
2020-04-24,43
2020-04-25,43
2020-04-26,43
2020-04-27,44
2020-04-28,44
2020-04-29,46
2020-04-30,48
2020-05-01,48
2020-05-02,48
2020-05-03,48
2020-05-04,48
2020-05-05,52
2020-05-06,53
2020-05-07,54
2020-05-08,56
2020-05-09,56
2020-05-10,56
2020-05-11,57
2020-05-12,57
2020-05-13,58
2020-05-14,59
2020-05-15,62
2020-05-16,62
2020-05-17,62
2020-05-18,62
2020-05-19,62
2020-05-20,63
2020-05-21,64
2020-05-22,66
2020-05-23,66
2020-05-24,69
2020-05-25,69
2020-05-26,69
2020-05-27,70
2020-05-28,71
2020-05-29,72
2020-05-30,73
2020-05-31,74
2020-06-01,75
2020-06-02,75
2020-06-03,78
2020-06-04,78
2020-06-05,78
2020-06-06,78
2020-06-07,78
2020-06-08,78
2020-06-09,80
2020-06-10,80
2020-06-11,82
2020-06-12,84
2020-06-13,88
2020-06-14,88
2020-06-15,89
2020-06-16,89
2020-06-17,90
2020-06-18,92
2020-06-19,96
2020-06-20,96
2020-06-21,97
2020-06-22,97
2020-06-23,100
2020-06-24,104
2020-06-25,104
2020-06-26,105
2020-06-27,107
2020-06-28,109
2020-06-29,109
2020-06-30,110
2020-07-01,111
2020-07-02,115
2020-07-03,117
2020-07-04,122
2020-07-05,130
2020-07-06,132
2020-07-07,137
2020-07-08,146
2020-07-09,165
2020-07-10,166
2020-07-11,175
2020-07-12,184
2020-07-13,195
2020-07-14,201
2020-07-15,208
2020-07-16,229
2020-07-17,240
2020-07-18,251
2020-07-19,257
2020-07-20,262
2020-07-21,274
2020-07-22,283
2020-07-23,298
2020-07-24,313
2020-07-25,322
2020-07-26,323
2020-07-27,323
2020-07-28,335
2020-07-29,342
2020-07-30,347
2020-07-31,349
2020-08-01,352
2020-08-02,368
2020-08-03,370
2020-08-04,380
2020-08-05,394
