Date,Total number of patients,Patients in ICU,Patients on ventilators
2020-04-01,72.0,31.0,26.0
2020-04-02,67.0,32.0,27.0
2020-04-03,75.0,37.0,28.0
2020-04-04,80.0,43.0,34.0
2020-04-05,79.0,47.0,28.0
2020-04-06,91.0,52.0,35.0
2020-04-07,88.0,51.0,40.0
2020-04-08,84.0,50.0,41.0
2020-04-09,85.0,55.0,42.0
2020-04-10,89.0,56.0,44.0
2020-04-11,84.0,52.0,46.0
2020-04-12,89.0,52.0,40.0
2020-04-13,88.0,52.0,37.0
2020-04-14,89.0,54.0,38.0
2020-04-15,89.0,50.0,36.0
2020-04-16,76.0,51.0,35.0
2020-04-17,80.0,47.0,25.0
2020-04-18,76.0,44.0,24.0
2020-04-19,81.0,41.0,24.0
2020-04-20,81.0,41.0,25.0
2020-04-21,82.0,41.0,24.0
2020-04-22,79.0,38.0,22.0
2020-04-23,64.0,32.0,20.0
2020-04-24,63.0,32.0,17.0
2020-04-25,62.0,32.0,17.0
2020-04-26,58.0,33.0,17.0
2020-04-27,59.0,34.0,16.0
2020-04-28,56.0,33.0,16.0
2020-04-29,55.0,36.0,20.0
2020-04-30,55.0,37.0,21.0
2020-05-01,60.0,42.0,21.0
2020-05-02,58.0,37.0,20.0
2020-05-03,59.0,34.0,20.0
2020-05-04,57.0,33.0,18.0
2020-05-05,61.0,35.0,25.0
2020-05-06,60.0,34.0,21.0
2020-05-07,63.0,38.0,25.0
2020-05-08,63.0,34.0,21.0
2020-05-09,62.0,35.0,21.0
2020-05-10,61.0,37.0,22.0
2020-05-11,63.0,44.0,26.0
2020-05-12,66.0,43.0,27.0
2020-05-13,67.0,36.0,27.0
2020-05-14,65.0,38.0,26.0
2020-05-15,70.0,34.0,25.0
2020-05-16,66.0,29.0,14.0
2020-05-17,70.0,31.0,16.0
2020-05-18,77.0,36.0,18.0
2020-05-19,80.0,35.0,20.0
2020-05-20,82.0,36.0,17.0
2020-05-21,82.0,40.0,20.0
2020-05-22,73.0,41.0,21.0
2020-05-23,70.0,38.0,19.0
2020-05-24,79.0,41.0,20.0
2020-05-25,84.0,43.0,17.0
2020-05-26,87.0,44.0,19.0
2020-05-27,92.0,39.0,19.0
2020-05-28,95.0,41.0,22.0
2020-05-29,91.0,40.0,25.0
2020-05-30,83.0,39.0,20.0
2020-05-31,92.0,39.0,22.0
2020-06-01,93.0,39.0,20.0
2020-06-02,92.0,35.0,21.0
2020-06-03,90.0,37.0,21.0
2020-06-04,93.0,36.0,19.0
2020-06-05,88.0,37.0,19.0
2020-06-06,84.0,34.0,16.0
2020-06-07,90.0,32.0,17.0
2020-06-08,96.0,38.0,23.0
2020-06-09,107.0,43.0,24.0
2020-06-10,108.0,50.0,28.0
2020-06-11,122.0,54.0,25.0
2020-06-12,138.0,58.0,26.0
2020-06-13,148.0,58.0,26.0
2020-06-14,176.0,70.0,29.0
2020-06-15,187.0,72.0,33.0
2020-06-16,212.0,82.0,41.0
2020-06-17,241.0,91.0,43.0
2020-06-18,267.0,92.0,40.0
2020-06-19,322.0,101.0,50.0
2020-06-20,336.0,111.0,49.0
2020-06-21,406.0,133.0,64.0
2020-06-22,446.0,124.0,60.0
2020-06-23,518.0,146.0,79.0
2020-06-24,555.0,164.0,82.0
2020-06-25,628.0,202.0,94.0
2020-06-26,699.0,221.0,117.0
2020-06-27,730.0,219.0,112.0
2020-06-28,802.0,265.0,138.0
2020-06-29,881.0,274.0,154.0
2020-06-30,966.0,288.0,158.0
2020-07-01,1019.0,324.0,175.0
2020-07-02,1074.0,332.0,180.0
2020-07-03,1089.0,345.0,192.0
2020-07-04,1120.0,351.0,191.0
2020-07-05,1142.0,365.0,197.0
2020-07-06,1168.0,382.0,213.0
2020-07-07,1235.0,389.0,221.0
2020-07-08,1205.0,399.0,232.0
2020-07-09,1216.0,399.0,231.0
2020-07-10,1240.0,416.0,248.0
2020-07-11,1221.0,401.0,249.0
2020-07-12,1265.0,419.0,246.0
2020-07-13,1267.0,421.0,257.0
2020-07-14,1237.0,417.0,260.0
2020-07-15,1231.0,438.0,274.0
2020-07-16,1202.0,430.0,277.0
2020-07-17,1166.0,436.0,298.0
2020-07-18,1144.0,426.0,293.0
2020-07-19,1199.0,431.0,299.0
2020-07-20,1193.0,430.0,294.0
2020-07-21,1166.0,435.0,288.0
2020-07-22,1113.0,429.0,287.0
2020-07-23,1074.0,437.0,286.0
2020-07-24,1059.0,430.0,294.0
2020-07-25,1047.0,419.0,290.0
2020-07-26,1044.0,418.0,287.0
2020-07-27,1073.0,431.0,294.0
2020-07-28,1045.0,413.0,283.0
2020-07-29,1007.0,389.0,269.0
2020-07-30,965.0,380.0,250.0
2020-07-31,926.0,364.0,252.0
2020-08-01,874.0,352.0,244.0
2020-08-03,886.0,350.0,238.0
2020-08-04,858.0,336.0,234.0
2020-08-05,817.0,345.0,238.0
2020-08-06,801.0,345.0,238.0
2020-08-07,770.0,339.0,231.0
2020-08-08,743.0,328.0,229.0
2020-08-09,738.0,322.0,220.0
2020-08-10,725.0,305.0,216.0
2020-08-11,720.0,317.0,216.0
2020-08-12,710.0,309.0,213.0
2020-08-13,694.0,311.0,213.0
2020-08-14,651.0,306.0,195.0
2020-08-15,598.0,285.0,194.0
2020-08-16,612.0,279.0,192.0
2020-08-17,603.0,267.0,188.0
2020-08-18,569.0,255.0,184.0
2020-08-19,546.0,247.0,162.0
2020-08-20,532.0,239.0,163.0
2020-08-21,520.0,232.0,153.0
2020-08-22,482.0,213.0,144.0
2020-08-23,478.0,206.0,144.0
