Date,Cases,Seven Day Rolling Average,Baseline
2020-03-19,3.0,3.0,0
2020-03-20,7.0,5.0,0
2020-03-21,10.0,6.666666667,0
2020-03-22,6.0,6.5,0
2020-03-23,12.0,7.6,0
2020-03-24,12.0,8.333333333,0
2020-03-25,13.0,9.0,0
2020-03-26,29.0,12.71428571,0
2020-03-27,8.0,12.85714286,0
2020-03-28,18.0,14.0,0
2020-03-29,17.0,15.57142857,0
2020-03-30,13.0,15.71428571,0
2020-03-31,36.0,19.14285714,0
2020-04-01,23.0,20.57142857,0
2020-04-02,25.0,20.0,0
2020-04-03,88.0,31.42857143,0
2020-04-04,42.0,34.85714286,0
2020-04-05,26.0,36.14285714,0
2020-04-06,46.0,40.85714286,0
2020-04-07,47.0,42.42857143,0
2020-04-08,51.0,46.42857143,0
2020-04-09,61.0,51.57142857,0
2020-04-10,50.0,46.14285714,0
2020-04-11,58.0,48.42857143,0
2020-04-12,49.0,51.71428571,0
2020-04-13,22.0,48.28571429,0
2020-04-14,21.0,44.57142857,0
2020-04-15,75.0,48.0,0
2020-04-16,28.0,43.28571429,0
2020-04-17,41.0,42.0,0
2020-04-18,33.0,38.42857143,0
2020-04-19,23.0,34.71428571,0
2020-04-20,14.0,33.57142857,0
2020-04-21,51.0,37.85714286,0
2020-04-22,46.0,33.71428571,0
2020-04-23,41.0,35.57142857,0
2020-04-24,28.0,33.71428571,0
2020-04-25,36.0,34.14285714,0
2020-04-26,23.0,34.14285714,0
2020-04-27,21.0,35.14285714,0
2020-04-28,32.0,32.42857143,0
2020-04-29,19.0,28.57142857,0
2020-04-30,48.0,29.57142857,0
2020-05-01,103.0,40.28571429,0
2020-05-02,108.0,50.57142857,0
2020-05-03,28.0,51.28571429,0
2020-05-04,39.0,53.85714286,0
2020-05-05,25.0,52.85714286,0
2020-05-06,84.0,62.14285714,0
2020-05-07,44.0,61.57142857,0
2020-05-08,30.0,51.14285714,0
2020-05-09,52.0,43.14285714,0
2020-05-10,14.0,41.14285714,0
