County,Cases
Anderson,7025.0
Andrews,3567.0
Angelina,9479.0
Aransas,3748.0
Archer,2111.0
Armstrong,412.0
Atascosa,11752.0
Austin,4964.0
Bailey,1007.0
Bandera,2810.0
Bastrop,18197.0
Baylor,348.0
Bee,7080.0
Bell,59809.0
Bexar,525355.0
Blanco,1709.0
Borden,83.0
Bosque,3068.0
Bowie,12759.0
Brazoria,89013.0
Brazos,60492.0
Brewster,906.0
Briscoe,358.0
Brooks,1280.0
Brown,6607.0
Burleson,4390.0
Burnet,10063.0
Caldwell,13804.0
Calhoun,4084.0
Callahan,1567.0
Cameron,89369.0
Camp,1904.0
Carson,1125.0
Cass,4957.0
Castro,1953.0
Chambers,11200.0
Cherokee,3622.0
Childress,2612.0
Clay,1953.0
Cochran,679.0
Coke,370.0
Coleman,1119.0
Collin,179851.0
Collingsworth,519.0
Colorado,3257.0
Comal,24542.0
Comanche,2607.0
Concho,605.0
Cooke,6270.0
Coryell,16123.0
Cottle,296.0
Crane,380.0
Crockett,175.0
Crosby,1092.0
Culberson,479.0
Dallam,1762.0
Dallas,532314.0
Dawson,1957.0
Deaf Smith,4042.0
Delta,775.0
Denton,143965.0
DeWitt,4321.0
Dickens,224.0
Dimmit,4958.0
Donley,472.0
Duval,2850.0
Eastland,2073.0
Ector,21555.0
Edwards,347.0
El Paso,215757.0
Ellis,40761.0
Erath,6272.0
Falls,3367.0
Fannin,4444.0
Fayette,3435.0
Fisher,585.0
Floyd,1233.0
Foard,178.0
Fort Bend,192686.0
Franklin,1568.0
Freestone,2368.0
Frio,4827.0
Gaines,1628.0
Galveston,96402.0
Garza,649.0
Gillespie,3526.0
Glasscock,84.0
Goliad,918.0
Gonzales,3502.0
Gray,4255.0
Grayson,24911.0
Gregg,13071.0
Grimes,8130.0
Guadalupe,28585.0
Hale,6510.0
Hall,924.0
Hamilton,1720.0
Hansford,706.0
Hardeman,515.0
Hardin,6173.0
Harris,1100664.0
Harrison,7175.0
Hartley,1042.0
Haskell,428.0
Hays,59130.0
Hemphill,1099.0
Henderson,12947.0
Hidalgo,158715.0
Hill,7047.0
Hockley,6920.0
Hood,9169.0
Hopkins,4988.0
Houston,2335.0
Howard,3832.0
Hudspeth,878.0
Hunt,12189.0
Hutchinson,5674.0
Irion,250.0
Jack,1389.0
Jackson,2753.0
Jasper,4046.0
Jeff Davis,187.0
Jefferson,52494.0
Jim Hogg,852.0
Jim Wells,9404.0
Johnson,35907.0
Jones,3149.0
Karnes,5249.0
Kaufman,30178.0
Kendall,5337.0
Kenedy,54.0
Kent,69.0
Kerr,4740.0
Kimble,415.0
King,34.0
Kinney,676.0
Kleberg,5426.0
Knox,303.0
La Salle,1866.0
Lamar,4267.0
Lamb,3432.0
Lampasas,5048.0
Lavaca,2767.0
Lee,2360.0
Leon,2913.0
Liberty,15257.0
Limestone,3839.0
Lipscomb,566.0
Live Oak,1676.0
Llano,3018.0
Loving,72.0
Lubbock,69521.0
Lynn,1294.0
Madison,3036.0
Marion,1022.0
Martin,812.0
Mason,318.0
Matagorda,7697.0
Maverick,20897.0
McCulloch,705.0
McLennan,55176.0
McMullen,140.0
Medina,7860.0
Menard,252.0
Midland,27583.0
Milam,3081.0
Mills,1201.0
Mitchell,1841.0
Montague,4255.0
Montgomery,121943.0
Moore,3896.0
Morris,1753.0
Motley,131.0
Nacogdoches,9632.0
Navarro,6381.0
Newton,911.0
Nolan,2976.0
Nueces,68537.0
Ochiltree,2158.0
Oldham,324.0
Orange,6897.0
Palo Pinto,6550.0
Panola,2887.0
Parker,29385.0
Parmer,1509.0
Pecos,2414.0
Polk,5572.0
Potter,28620.0
Presidio,770.0
Rains,1106.0
Randall,26016.0
Reagan,297.0
Real,638.0
Red River,1125.0
Reeves,2519.0
Refugio,1261.0
Roberts,154.0
Robertson,3895.0
Rockwall,21050.0
Runnels,1201.0
Rusk,6815.0
Sabine,778.0
San Augustine,582.0
San Jacinto,4471.0
San Patricio,9930.0
San Saba,853.0
Schleicher,250.0
Scurry,4903.0
Shackelford,221.0
Shelby,2880.0
Sherman,370.0
Smith,31608.0
Somervell,1345.0
Starr,15654.0
Stephens,1011.0
Sterling,103.0
Stonewall,79.0
Sutton,390.0
Swisher,1301.0
Tarrant,495408.0
Taylor,14326.0
Terrell,89.0
Terry,1553.0
Throckmorton,93.0
Titus,5961.0
Tom Green,9493.0
Travis,236216.0
Trinity,1996.0
Tyler,1943.0
Upshur,3698.0
Upton,153.0
Uvalde,10155.0
Val Verde,14756.0
Van Zandt,7121.0
Victoria,18442.0
Walker,18145.0
Waller,8810.0
Ward,2187.0
Washington,8452.0
Webb,92755.0
Wharton,7570.0
Wheeler,966.0
Wichita,34216.0
Wilbarger,2994.0
Willacy,6557.0
Williamson,123797.0
Wilson,8081.0
Winkler,1552.0
Wise,14950.0
Wood,5352.0
Yoakum,930.0
Young,3606.0
Zapata,2510.0
Zavala,3511.0
Incomplete Address,78825.0
Total,6130348.0
,
Notes:,
Case counts do not include probable cases,
Additional information can be found on the Data Notes page: https://dshs.texas.gov/coronavirus/datanotes.aspx.,
