Date,Total new cases
2020-03-24,72
2020-03-31,134
2020-04-07,297
2020-04-14,312
2020-04-21,265
2020-04-28,227
2020-05-05,370
2020-05-12,265
2020-05-19,336
2020-05-26,202
2020-06-02,402
2020-06-09,631
2020-06-16,1363
2020-06-23,2591
2020-06-30,4598
2020-07-07,3815
2020-07-14,5187
2020-07-21,10800
2020-07-28,6117
2020-08-04,3290
2020-08-11,1890
2020-08-18,1101
2020-08-25,1223
2020-09-01,1175
2020-09-08,1073
2020-09-15,2395
2020-09-22,3508
2020-09-29,4038
2020-10-06,1262
2020-10-13,963
2020-10-20,3692
2020-10-27,1347
2020-11-03,1588
2020-11-10,1847
2020-11-17,2152
2020-11-24,5190
2020-12-01,5908
2020-12-08,7864
2020-12-15,6650
2020-12-22,9024
2020-12-29,9198
2021-01-05,10438
2021-01-12,12607
2021-01-19,14824
2021-01-26,10698
2021-02-02,13861
2021-02-09,7994
2021-02-16,4474
2021-02-23,4703
2021-03-02,3104
2021-03-09,1904
2021-03-16,2041
2021-03-23,1839
2021-03-30,2557
2021-04-06,2766
2021-04-13,2897
2021-04-20,3002
2021-04-27,2405
2021-05-04,2236
2021-05-11,1342
2021-05-18,1283
2021-05-25,1234
2021-06-01,712
2021-06-08,1384
2021-06-15,880
2021-06-22,857
2021-06-29,1070
2021-07-06,1164
2021-07-13,1985
2021-07-20,2544
2021-07-27,4122
2021-08-02,8020
2021-08-09,8911
2021-08-16,11394
2021-08-23,8219
2021-08-30,7915
2021-09-06,8556
2021-09-13,5728
2021-09-20,4563
2021-09-27,4310
2021-10-04,3052
2021-10-11,2546
2021-10-18,2129
2021-10-25,1561
2021-11-01,1295
2021-11-08,1061
2021-11-15,1557
2021-11-23,1262
2021-11-29,1156
2021-12-06,1771
2021-12-13,1662
2021-12-20,2179
2022-01-03,17817
2022-01-10,25517
2022-01-17,42983
2022-01-24,38783
2021-12-27,4206
2022-01-31,29293
2022-02-07,12330
2022-02-14,5368
2022-02-21,2697
2022-02-28,1464
2022-03-07,932
2022-03-14,561
2022-03-21,397
2022-03-28,520
2022-04-04,489
2022-04-11,481
2022-04-18,732
2022-04-25,803
2022-05-02,892
2022-05-09,1212
2022-05-16,1524
2022-05-23,2461
2022-05-30,2945
2022-06-06,3598
2022-06-13,4016
2022-06-20,4671
2022-06-27,5870
2022-07-04,6645
2022-07-11,6882
2022-07-18,6984
2022-07-25,6631
2022-08-01,6258
2022-08-08,5008
2022-08-15,5764
2022-08-22,4633
2022-08-29,5022
2022-09-05,4740
2022-09-12,3521
2022-09-19,2486
2022-09-26,1691
2022-10-03,1227
2022-10-10,888
2022-10-17,917
2022-10-24,735
2022-10-31,683
2022-11-07,710
2022-11-14,1018
2022-11-21,1296
2022-11-28,1397
2022-12-05,2438
2022-12-12,2809
2022-12-19,2275
2022-12-26,2542
2023-01-02,3125
2023-01-09,2497
2023-01-16,2841
2023-01-23,1378
2023-01-30,1339
2023-02-06,1533
2023-02-13,1725
2023-02-20,919
2023-02-27,1240
2023-03-06,1065
2023-03-13,1002
2023-03-20,596
2023-03-27,791
2023-04-03,853
2023-04-10,670
2023-04-17,924
2023-04-24,669
2023-05-01,556
2023-05-08,587
2023-05-15,362
2023-05-23,474
2023-05-30,271
2023-06-06,365
2023-06-13,343
2023-06-20,256
2023-06-27,348
2023-07-05,331
2023-07-11,452
2023-07-18,509
2023-07-25,727
2023-08-01,916
2023-08-08,1227
2023-08-15,1612
2023-08-22,1965
2023-08-29,2682
2023-09-05,2656
2023-09-12,2045
2023-09-19,2629
2023-09-26,1114
2023-10-03,858
2023-10-10,616
2023-10-17,646
2023-10-24,471
2023-10-31,672
2023-11-07,752
2023-11-14,641
2023-11-21,476
2023-11-28,619
2023-12-05,649
