Date,Weekly positivity rate
2020-04-05,11.6
2020-04-12,8.3
2020-04-19,4.7
2020-04-26,5.8
2020-05-03,5.7
2020-05-10,4.3
2020-05-17,3.5
2020-05-24,3.6
2020-05-31,3.6
2020-06-07,4.5
2020-06-14,9.3
2020-06-21,16.9
2020-06-28,20.1
2020-07-06,22.0
2020-07-12,24.2
2020-07-19,22.9
2020-07-26,17.7
2020-08-02,14.8
2020-08-09,12.7
2020-08-16,11.3
2020-08-23,9.9
2020-08-30,7.8
2020-09-06,6.7
2020-09-13,6.0
2020-09-20,6.4
2020-09-27,5.92
2020-10-04,4.9
2020-10-11,5.8
2020-10-18,5.8
2020-10-25,6.9
2020-11-01,7.7
2020-11-08,8.4
2020-11-15,9.4
2020-11-22,10.0
2020-11-30,9.2
2020-12-06,15.7
2020-12-13,12.5
2020-12-19,14.4
2020-12-28,19.2
2021-01-04,23.2
2021-01-10,19.7
2021-01-17,17.5
2021-01-24,15.0
2021-01-31,11.4
2021-02-07,9.7
2021-02-21,7.5
2021-02-28,5.6
2021-03-07,2.6
2021-03-14,5.6
2021-03-21,2.3
2021-03-28,2.1
2021-04-04,2.1
2021-04-12,2.4
2021-04-18,2.2
2021-04-25,1.9
2021-05-02,2.6
2021-05-09,1.7
2021-05-16,2.3
2021-05-23,1.3
2021-05-30,1.4
2021-06-06,1.2
2021-06-13,1.5
2021-06-20,1.3
2021-06-27,3.8
2021-07-04,5.8
2021-07-11,11.2
2021-07-18,13.5
2021-07-25,17.0
2021-08-01,19.9
2021-08-08,21.4
2021-08-15,16.9
2021-08-22,13.6
2021-08-29,10.6
2021-09-05,7.6
2021-09-12,7.1
2021-09-19,4.9
2021-09-26,5.0
2021-10-05,3.9
2021-10-10,3.0
2021-10-17,2.1
2021-10-24,1.9
2021-10-31,1.6
2021-11-07,1.5
2021-11-14,1.8
2021-11-21,1.7
2021-11-28,4.8
2021-12-05,2.0
2021-12-12,1.8
2021-12-19,2.2
2022-01-02,27.3
